"VESSEL_TYPE","hour_time","n.x","n.y","prop"
"Bulk Carrier",0,356,9144,0.0389326334208224
"Bulk Carrier",1,287,9144,0.0313867016622922
"Bulk Carrier",2,246,9144,0.0269028871391076
"Bulk Carrier",3,206,9144,0.0225284339457568
"Bulk Carrier",4,258,9144,0.0282152230971129
"Bulk Carrier",5,296,9144,0.0323709536307962
"Bulk Carrier",6,414,9144,0.0452755905511811
"Bulk Carrier",7,582,9144,0.0636482939632546
"Bulk Carrier",8,449,9144,0.0491032370953631
"Bulk Carrier",9,477,9144,0.0521653543307087
"Bulk Carrier",10,342,9144,0.0374015748031496
"Bulk Carrier",11,357,9144,0.0390419947506562
"Bulk Carrier",12,393,9144,0.0429790026246719
"Bulk Carrier",13,466,9144,0.0509623797025372
"Bulk Carrier",14,401,9144,0.0438538932633421
"Bulk Carrier",15,425,9144,0.0464785651793526
"Bulk Carrier",16,459,9144,0.0501968503937008
"Bulk Carrier",17,422,9144,0.0461504811898513
"Bulk Carrier",18,510,9144,0.0557742782152231
"Bulk Carrier",19,445,9144,0.048665791776028
"Bulk Carrier",20,377,9144,0.0412292213473316
"Bulk Carrier",21,381,9144,0.0416666666666667
"Bulk Carrier",22,290,9144,0.0317147856517935
"Bulk Carrier",23,305,9144,0.0333552055993001
"Container Ship",0,361,9297,0.0388297300204367
"Container Ship",1,320,9297,0.0344197052812735
"Container Ship",2,360,9297,0.0387221684414327
"Container Ship",3,251,9297,0.0269979563299989
"Container Ship",4,400,9297,0.0430246316015919
"Container Ship",5,661,9297,0.0710982037216306
"Container Ship",6,435,9297,0.0467892868667312
"Container Ship",7,285,9297,0.0306550500161342
"Container Ship",8,292,9297,0.0314079810691621
"Container Ship",9,345,9297,0.037108744756373
"Container Ship",10,395,9297,0.042486823706572
"Container Ship",11,421,9297,0.0452834247606755
"Container Ship",12,387,9297,0.0416263310745402
"Container Ship",13,425,9297,0.0457136710766914
"Container Ship",14,369,9297,0.0396902226524685
"Container Ship",15,357,9297,0.0383994837044208
"Container Ship",16,447,9297,0.048080025814779
"Container Ship",17,372,9297,0.0400129073894805
"Container Ship",18,430,9297,0.0462514789717113
"Container Ship",19,454,9297,0.0488329568678068
"Container Ship",20,348,9297,0.037431429493385
"Container Ship",21,315,9297,0.0338818973862536
"Container Ship",22,427,9297,0.0459287942346994
"Container Ship",23,440,9297,0.0473270947617511
"Fishing Vessel",0,391,10866,0.0359838026872814
"Fishing Vessel",1,438,10866,0.0403092214246273
"Fishing Vessel",2,424,10866,0.0390207988220136
"Fishing Vessel",3,423,10866,0.0389287686361126
"Fishing Vessel",4,436,10866,0.0401251610528253
"Fishing Vessel",5,478,10866,0.0439904288606663
"Fishing Vessel",6,456,10866,0.0419657647708448
"Fishing Vessel",7,444,10866,0.0408614025400331
"Fishing Vessel",8,457,10866,0.0420577949567458
"Fishing Vessel",9,453,10866,0.0416896742131419
"Fishing Vessel",10,481,10866,0.0442665194183692
"Fishing Vessel",11,512,10866,0.0471194551812995
"Fishing Vessel",12,547,10866,0.0503405116878336
"Fishing Vessel",13,491,10866,0.045186821277379
"Fishing Vessel",14,448,10866,0.041229523283637
"Fishing Vessel",15,476,10866,0.0438063684888644
