"VESSEL_TYPE","hour_time","n.x","n.y","prop"
"Fishing Vessel",16,493,10866,0.0453708816491809
"Fishing Vessel",17,453,10866,0.0416896742131419
"Fishing Vessel",18,399,10866,0.0367200441744892
"Fishing Vessel",19,450,10866,0.041413583655439
"Fishing Vessel",20,461,10866,0.0424259157003497
"Fishing Vessel",21,406,10866,0.0373642554757961
"Fishing Vessel",22,436,10866,0.0401251610528253
"Fishing Vessel",23,413,10866,0.0380084667771029
"High Speed Craft",7,203,1183,0.171597633136095
"High Speed Craft",8,240,1183,0.202874049027895
"High Speed Craft",9,37,1183,0.0312764158918005
"High Speed Craft",13,37,1183,0.0312764158918005
"High Speed Craft",14,31,1183,0.0262045646661031
"High Speed Craft",15,6,1183,0.00507185122569738
"High Speed Craft",17,233,1183,0.196956889264582
"High Speed Craft",18,112,1183,0.0946745562130177
"High Speed Craft",19,277,1183,0.234150464919696
"High Speed Craft",20,7,1183,0.00591715976331361
"Passenger",0,282,11245,0.0250778123610494
"Passenger",1,263,11245,0.0233881725211205
"Passenger",2,247,11245,0.0219653179190751
"Passenger",3,262,11245,0.0232992441084927
"Passenger",4,276,11245,0.0245442418852823
"Passenger",5,347,11245,0.0308581591818586
"Passenger",6,549,11245,0.0488216985326812
"Passenger",7,701,11245,0.0623388172521121
"Passenger",8,464,11245,0.0412627834593152
"Passenger",9,454,11245,0.0403734993330369
"Passenger",10,206,11245,0.0183192530013339
"Passenger",11,236,11245,0.020987105380169
"Passenger",12,274,11245,0.0243663850600267
"Passenger",13,430,11245,0.0382392174299689
"Passenger",14,255,11245,0.0226767452200978
"Passenger",15,628,11245,0.0558470431302801
"Passenger",16,618,11245,0.0549577590040018
"Passenger",17,835,11245,0.0742552245442419
"Passenger",18,470,11245,0.0417963539350823
"Passenger",19,686,11245,0.0610048910626945
"Passenger",20,531,11245,0.0472209871053802
"Passenger",21,812,11245,0.0722098710538017
"Passenger",22,697,11245,0.0619831036016007
"Passenger",23,722,11245,0.0642063139172966
"Pleasure Craft",0,876,24733,0.0354182670925484
"Pleasure Craft",1,852,24733,0.0344479036105608
"Pleasure Craft",2,888,24733,0.0359034488335422
"Pleasure Craft",3,908,24733,0.0367120850685319
"Pleasure Craft",4,904,24733,0.036550357821534
"Pleasure Craft",5,896,24733,0.0362269033275381
"Pleasure Craft",6,910,24733,0.0367929486920309
"Pleasure Craft",7,933,24733,0.037722880362269
"Pleasure Craft",8,942,24733,0.0380867666680144
"Pleasure Craft",9,1090,24733,0.0440706748069381
"Pleasure Craft",10,1243,24733,0.0502567420046092
"Pleasure Craft",11,1353,24733,0.0547042412970525
"Pleasure Craft",12,1403,24733,0.0567258318845267
"Pleasure Craft",13,1307,24733,0.0528443779565762
"Pleasure Craft",14,1110,24733,0.0448793110419278
"Pleasure Craft",15,1205,24733,0.0487203331581288
"Pleasure Craft",16,1217,24733,0.0492055148991226
"Pleasure Craft",17,1118,24733,0.0452027655359237
"Pleasure Craft",18,1030,24733,0.041644766101969
"Pleasure Craft",19,1026,24733,0.0414830388549711
"Pleasure Craft",20,913,24733,0.0369142441272793
"Pleasure Craft",21,891,24733,0.0360247442687907
"Pleasure Craft",22,862,24733,0.0348522217280556
"Pleasure Craft",23,856,24733,0.0346096308575587
"Port Tender",0,114,4613,0.0247127682636029
"Port Tender",1,100,4613,0.0216778668978972
"Port Tender",2,56,4613,0.0121396054628225
"Port Tender",3,76,4613,0.0164751788424019
"Port Tender",4,57,4613,0.0123563841318014
"Port Tender",5,69,4613,0.0149577281595491
"Port Tender",6,94,4613,0.0203771948840234
"Port Tender",7,211,4613,0.0457402991545632
"Port Tender",8,298,4613,0.0646000433557338
"Port Tender",9,272,4613,0.0589637979622805
"Port Tender",10,247,4613,0.0535443312378062
"Port Tender",11,197,4613,0.0427053977888576
"Port Tender",12,177,4613,0.0383698244092781
"Port Tender",13,231,4613,0.0500758725341426
"Port Tender",14,258,4613,0.0559288965965749
"Port Tender",15,308,4613,0.0667678300455235
"Port Tender",16,339,4613,0.0734879687838717
"Port Tender",17,267,4613,0.0578799046173857
"Port Tender",18,271,4613,0.0587470192933015
"Port Tender",19,252,4613,0.0546282245827011
"Port Tender",20,189,4613,0.0409711684370258
"Port Tender",21,207,4613,0.0448731844786473
"Port Tender",22,158,4613,0.0342510296986777
"Port Tender",23,165,4613,0.0357684803815305
"Tanker",0,956,25182,0.0379636248113732
"Tanker",1,1015,25182,0.0403065681836232
"Tanker",2,947,25182,0.0376062266698435
"Tanker",3,929,25182,0.0368914303867842
"Tanker",4,839,25182,0.0333174489714876
"Tanker",5,908,25182,0.0360575013898817
"Tanker",6,1018,25182,0.0404257008974664
"Tanker",7,1133,25182,0.0449924549281233
"Tanker",8,1181,25182,0.0468985783496148
"Tanker",9,1074,25182,0.0426495115558732
"Tanker",10,955,25182,0.0379239139067588
"Tanker",11,1036,25182,0.0411404971805258
"Tanker",12,1085,25182,0.0430863315066317
"Tanker",13,1079,25182,0.0428480660789453
"Tanker",14,1204,25182,0.0478119291557462
"Tanker",15,1212,25182,0.0481296163926614
"Tanker",16,1181,25182,0.0468985783496148
"Tanker",17,1147,25182,0.045548407592725
"Tanker",18,1081,25182,0.0429274878881741
"Tanker",19,1075,25182,0.0426892224604876
"Tanker",20,1135,25182,0.0450718767373521
"Tanker",21,1036,25182,0.0411404971805258
"Tanker",22,1003,25182,0.0398300373282503
"Tanker",23,953,25182,0.03784449209753
