"VESSEL_TYPE","hour_time","n.x","n.y","prop"
"Pleasure Craft",12,553,4127,0.133995638478314
"Pleasure Craft",13,456,4127,0.110491882723528
"Pleasure Craft",14,248,4127,0.0600920765689363
"Pleasure Craft",15,328,4127,0.0794766173976254
"Pleasure Craft",16,331,4127,0.0802035376787012
"Pleasure Craft",17,244,4127,0.0591228495275018
"Pleasure Craft",18,176,4127,0.0426459898231161
"Pleasure Craft",19,182,4127,0.0440998303852677
"Pleasure Craft",20,96,4127,0.0232614489944269
"Pleasure Craft",21,78,4127,0.0188999273079719
"Pleasure Craft",22,19,4127,0.00460382844681367
"Pleasure Craft",23,18,4127,0.00436152168645505
"Port Tender",0,62,2888,0.0214681440443213
"Port Tender",1,44,2888,0.0152354570637119
"Port Tender",2,23,2888,0.00796398891966759
"Port Tender",3,49,2888,0.0169667590027701
"Port Tender",4,22,2888,0.00761772853185596
"Port Tender",5,48,2888,0.0166204986149584
"Port Tender",6,66,2888,0.0228531855955679
"Port Tender",7,150,2888,0.0519390581717451
"Port Tender",8,190,2888,0.0657894736842105
"Port Tender",9,118,2888,0.0408587257617729
"Port Tender",10,122,2888,0.0422437673130194
"Port Tender",11,101,2888,0.0349722991689751
"Port Tender",12,97,2888,0.0335872576177285
"Port Tender",13,168,2888,0.0581717451523546
"Port Tender",14,159,2888,0.0550554016620499
"Port Tender",15,223,2888,0.0772160664819945
"Port Tender",16,244,2888,0.0844875346260388
"Port Tender",17,170,2888,0.0588642659279778
"Port Tender",18,189,2888,0.0654432132963989
"Port Tender",19,187,2888,0.0647506925207756
"Port Tender",20,115,2888,0.039819944598338
"Port Tender",21,146,2888,0.0505540166204986
"Port Tender",22,96,2888,0.0332409972299169
"Port Tender",23,99,2888,0.0342797783933518
"Tanker",0,220,7700,0.0285714285714286
"Tanker",1,292,7700,0.0379220779220779
"Tanker",2,254,7700,0.032987012987013
"Tanker",3,239,7700,0.031038961038961
"Tanker",4,164,7700,0.0212987012987013
"Tanker",5,232,7700,0.0301298701298701
"Tanker",6,346,7700,0.0449350649350649
"Tanker",7,415,7700,0.0538961038961039
"Tanker",8,436,7700,0.0566233766233766
"Tanker",9,350,7700,0.0454545454545455
"Tanker",10,262,7700,0.034025974025974
"Tanker",11,340,7700,0.0441558441558442
"Tanker",12,310,7700,0.0402597402597403
"Tanker",13,332,7700,0.0431168831168831
"Tanker",14,468,7700,0.0607792207792208
"Tanker",15,455,7700,0.0590909090909091
"Tanker",16,465,7700,0.0603896103896104
"Tanker",17,376,7700,0.0488311688311688
"Tanker",18,344,7700,0.0446753246753247
"Tanker",19,322,7700,0.0418181818181818
"Tanker",20,372,7700,0.0483116883116883
"Tanker",21,279,7700,0.0362337662337662
"Tanker",22,233,7700,0.0302597402597403
"Tanker",23,194,7700,0.0251948051948052
