"TRIP_ID","area_1","area_2","area_3","area_4","area_5","area_6","area_7","area_8","area_9","area_10","area_11","area_12","area_13","area_14","area_15"
836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54240,NA,54240
838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19800,NA,19800
839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34920,NA,34920
842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63000,NA,63000
843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14640,NA,14640
844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100440,NA,100440
845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24480,NA,24480
847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36000,NA,36000
848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13320,NA,13320
849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77400,NA,77400
851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130020,NA,130020
852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22260,NA,22260
853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11880,NA,11880
854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89280,NA,89280
856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40380,NA,40380
859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54420,NA,54420
862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29520,NA,29520
863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11880,NA,11880
864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14760,NA,14760
865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16560,NA,16560
868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8640,NA,8640
869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43920,NA,43920
