"VESSEL_TYPE","hour_time","n"
"Bulk Carrier",0,114
"Bulk Carrier",1,74
"Bulk Carrier",2,58
"Bulk Carrier",3,47
"Bulk Carrier",4,72
"Bulk Carrier",5,53
"Bulk Carrier",6,152
"Bulk Carrier",7,212
"Bulk Carrier",8,54
"Bulk Carrier",9,105
"Bulk Carrier",10,57
"Bulk Carrier",11,80
"Bulk Carrier",12,108
"Bulk Carrier",13,166
"Bulk Carrier",14,97
"Bulk Carrier",15,87
"Bulk Carrier",16,114
"Bulk Carrier",17,101
"Bulk Carrier",18,189
"Bulk Carrier",19,151
"Bulk Carrier",20,116
"Bulk Carrier",21,129
"Bulk Carrier",22,56
"Bulk Carrier",23,98
"Container Ship",0,143
"Container Ship",1,121
"Container Ship",2,164
"Container Ship",3,63
"Container Ship",4,236
"Container Ship",5,398
"Container Ship",6,140
"Container Ship",7,69
"Container Ship",8,71
"Container Ship",9,85
"Container Ship",10,133
"Container Ship",11,141
"Container Ship",12,81
"Container Ship",13,136
"Container Ship",14,97
"Container Ship",15,107
"Container Ship",16,176
"Container Ship",17,78
"Container Ship",18,135
"Container Ship",19,177
"Container Ship",20,108
"Container Ship",21,83
"Container Ship",22,174
"Container Ship",23,173
"Fishing Vessel",1,21
"Fishing Vessel",2,4
"Fishing Vessel",3,15
"Fishing Vessel",4,17
"Fishing Vessel",5,24
"Fishing Vessel",6,30
"Fishing Vessel",7,8
"Fishing Vessel",8,28
"Fishing Vessel",9,16
"Fishing Vessel",10,39
"Fishing Vessel",11,37
"Fishing Vessel",12,89
"Fishing Vessel",13,49
"Fishing Vessel",14,25
"Fishing Vessel",15,48
"Fishing Vessel",16,72
"Fishing Vessel",17,40
"Fishing Vessel",19,30
"Fishing Vessel",20,56
"Fishing Vessel",21,6
"Fishing Vessel",22,31
"High Speed Craft",7,163
"High Speed Craft",8,206
"High Speed Craft",9,31
"High Speed Craft",13,31
"High Speed Craft",14,27
"High Speed Craft",15,6
"High Speed Craft",17,200
"High Speed Craft",18,37
"High Speed Craft",19,241
"High Speed Craft",20,5
"Passenger",0,37
"Passenger",1,10
"Passenger",4,27
"Passenger",5,78
"Passenger",6,259
"Passenger",7,521
"Passenger",8,253
"Passenger",9,197
"Passenger",10,20
"Passenger",11,26
"Passenger",12,81
"Passenger",13,227
"Passenger",14,54
"Passenger",15,463
"Passenger",16,395
"Passenger",17,502
"Passenger",18,100
"Passenger",19,389
"Passenger",20,212
"Passenger",21,424
"Passenger",22,278
"Passenger",23,396
"Pleasure Craft",0,6
"Pleasure Craft",1,3
"Pleasure Craft",2,19
"Pleasure Craft",3,21
"Pleasure Craft",4,16
"Pleasure Craft",5,18
"Pleasure Craft",6,43
"Pleasure Craft",7,46
"Pleasure Craft",8,84
"Pleasure Craft",9,167
"Pleasure Craft",10,280
"Pleasure Craft",11,364
"Pleasure Craft",12,412
"Pleasure Craft",13,334
"Pleasure Craft",14,185
"Pleasure Craft",15,250
"Pleasure Craft",16,232
"Pleasure Craft",17,190
"Pleasure Craft",18,147
"Pleasure Craft",19,122
"Pleasure Craft",20,82
"Pleasure Craft",21,54
"Pleasure Craft",22,13
"Pleasure Craft",23,18
"Port Tender",0,57
"Port Tender",1,40
"Port Tender",2,17
"Port Tender",3,45
"Port Tender",4,22
"Port Tender",5,43
"Port Tender",6,62
"Port Tender",7,134
"Port Tender",8,144
"Port Tender",9,95
"Port Tender",10,105
"Port Tender",11,84
"Port Tender",12,75
"Port Tender",13,152
"Port Tender",14,127
"Port Tender",15,186
"Port Tender",16,209
"Port Tender",17,149
"Port Tender",18,156
"Port Tender",19,163
"Port Tender",20,102
"Port Tender",21,125
"Port Tender",22,82
"Port Tender",23,89
"Tanker",0,152
"Tanker",1,214
"Tanker",2,169
"Tanker",3,162
"Tanker",4,121
"Tanker",5,162
"Tanker",6,251
"Tanker",7,276
"Tanker",8,268
"Tanker",9,222
"Tanker",10,204
"Tanker",11,260
"Tanker",12,208
"Tanker",13,260
"Tanker",14,286
"Tanker",15,284
"Tanker",16,309
"Tanker",17,260
"Tanker",18,257
"Tanker",19,207
"Tanker",20,236
"Tanker",21,192
"Tanker",22,132
"Tanker",23,119
