TRIP_ID	MMSI	VESSEL_TYPE	duration_total	duration_segment	speed_avg	speed_max	speed_upperquartile	distance_total	distance_segment	time_diff_avg	hour_min	hour_max	day_min	day_max	area_1	area_2	area_3	area_4	area_5	area_6	area_7	area_8	area_9	area_10	area_11	area_12	area_13	area_14	area_15	area_1_p	area_2_p	area_3_p	area_4_p	area_5_p	area_6_p	area_7_p	area_8_p	area_9_p	area_10_p	area_11_p	area_12_p	area_13_p	area_14_p	area_15_p	Night	Morning	Afternoon	Evening	In-week	Weekend	speed_avg_out
2.0	203048100	Pleasure Craft	10020.0	192.69230769230768	2.8687383692198805	3.768356465213399	3.2003300992364565	25465.971200900232	489.7302154019275	192.69230769230768	10	13	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1020.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10179640718562874	0.0	0.596	0.404	0.0	1.0	0.0	2.916376185763775
3.0	205741010	Pleasure Craft	7440.0	181.46341463414635	2.060146589426858	5.076888873067852	2.6728164942825123	15354.562494063817	374.50152424545894	181.46341463414635	18	20	6.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	480.0	0.0	1980.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06451612903225806	0.0	0.2661290322580645	0.0	0.0	0.0	1.0	0.0	1.0	2.1631391348047195
4.0	205864510	Pleasure Craft	69120.0	1440.0	0.001348106812645922	0.0074727170437302775	0.002509926077180996	92.14126409339231	1.9196096686123398	1440.0	0	23	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69120.0	0.0	69120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7.0	205864510	Pleasure Craft	24120.0	1507.5	0.0011454898111437502	0.002533893865531296	0.001868244785491955	28.01362461468197	1.750851538417623	1507.5	14	20	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24120.0	0.0	24120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
8.0	205864510	Pleasure Craft	58680.0	1467.0	0.0013208034087111656	0.003744074519159583	0.0027298101267090127	75.87951612167615	1.8969879030419037	1467.0	0	23	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58680.0	0.0	58680.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9.0	205864510	Pleasure Craft	15120.0	1512.0	0.0018015197830444011	0.0029943286876858103	0.0026076807586570324	27.316762802207037	2.7316762802207037	1512.0	14	18	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15120.0	0.0	15120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10.0	205864510	Pleasure Craft	12600.0	1575.0	0.0016137793933028882	0.0020608850650546827	0.0020608850650546827	20.04797772906134	2.5059972161326676	1575.0	19	22	4.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12600.0	0.0	12600.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12.0	205864510	Pleasure Craft	48780.0	1060.4347826086957	0.42626273380153756	2.2555419147181457	1.4882817391875505	2984.0269666686677	64.87015144931887	1060.4347826086957	2	15	5.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47220.0	0.0	48780.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.968019680196802	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
13.0	205864510	Pleasure Craft	58080.0	1095.8490566037735	0.2967330466491442	1.7076071319809467	1.3907183608473594	2948.6044914638783	55.63404700875242	1095.8490566037735	0	23	1.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55740.0	0.0	58080.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9597107438016529	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
14.0	205864510	Pleasure Craft	178740.0	1183.708609271523	0.506416014075242	4.277928709328088	2.566647306663166	13906.356819884866	92.09507827738322	1183.708609271523	0	23	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	173400.0	0.0	176400.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9701242027526016	0.0	0.9869083585095669	0.0	0.0	1.0	0.0	1.0	0.0	2.883058579019497
