imo,MMSI,ais.type,call.Sign,flag,gross.tonnage,deadweight,length,width,image.src,ship.type,name,vessel.type
6822979,273243700,Sailing Vessel,UCVK,Russia [RU],3141,1645,114,51,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1356266&size=,Sailing Vessel,KRUZENSHTERN,Pleasure Craft
9467433,373004000,Cargo - Hazard A (Major),3FBD7,Panama [PA],140096,139466,365,75,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=748890&size=,Container Ship,MSC FLAVIA,Container Ship
9451965,311044100,Cargo - Hazard A (Major),C6YS9,Bahamas [BS],40827,51619,228,37,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=473471&size=,Container Ship,CMA CGM AFRICA FOUR,Container Ship
9247936,247086800,Cargo,IBZI,Italy [IT],44408,14254,196,4,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=360600&size=,Ro-Ro Cargo,GRANDE ROMA,Passenger
9203942,357506000,Cargo - Hazard A (Major),3FYW9,Panama [PA],40631,56903,259,59,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=754621&size=,Container Ship,MSC ANIELLO,Container Ship
NA,269763000,Sailing Vessel,-,Switzerland [CH],NA,NA,9,2,http://www.marinetraffic.com/img/no_photo.png,Sailing Vessel,KNUT,Pleasure Craft
NA,235052533,Sailing Vessel,MQEX4,United Kingdom [GB],NA,NA,12,4,http://www.marinetraffic.com/img/no_photo.png,Sailing Vessel,BRINDABELLA,Pleasure Craft
NA,227197710,Sailing Vessel,FAB3784,France [FR],NA,NA,NA,NA,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=2086735&size=,Sailing Vessel,MARIJOSE,Pleasure Craft
9416941,376456000,Tug,J8B3818,St Vincent Grenadines,1025,703,48,12,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1502730&size=,Fire Fighting Vessel,SMYRNA,Fire Fighting Vessel
NA,224107290,Other,EAHX,Spain [ES],NA,NA,58,10,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=741569&size=,Other,SALIMAR CUATRO,Other
9282558,636013591,Tanker,A8NZ7,Liberia [LR],28245,46847,179,9,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1974904&size=,Oil Products Tanker,HIGH PRIORITY,Tanker
NA,232050000,Sailing Vessel,MEXY7,United Kingdom [GB],NA,NA,15,5,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1481398&size=,Sailing Vessel,BVI OSPREY,Pleasure Craft
9228643,357313000,Cargo,H3XH,Panama [PA],21388,35062,177,29,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=2247331&size=,General Cargo,CORSAIR,General Cargo
9316555,371027000,Tanker,3EAZ4,Panama [PA],7064,10800,121,19,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=26108&size=,Oil/Chemical Tanker,ANGEL 30,Tanker
9440382,636014469,Tanker - Hazard B,A8UB7,Liberia [LR],81347,158007,274,34,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=289564&size=,Crude Oil Tanker,MIKELA P.,Tanker
9675509,563622000,Tanker - Hazard D (Recognizable),9V2343,Singapore [SG],29737,50131,183,07,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1923164&size=,Oil/Chemical Tanker,BW LIONESS,Tanker
9419723,235087417,Tanker,2EQV6,United Kingdom [GB],29955,51332,183,32,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1010095&size=,Oil/Chemical Tanker,ANJA KIRK,Tanker
9505596,305677000,Cargo - Hazard C (Minor),V2QM9,Antigua Barbuda [AG],6668,9319,106,97,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=612857&size=,General Cargo,NBP VOYAGER,General Cargo
9111644,564134000,Tanker,S6JO,Singapore [SG],57456,99448,253,3,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=882745&size=,Oil Products Tanker,EAGLE BEAUMONT,Tanker
9269879,576301000,Unspecified,YJVG6,Vanuatu [VU],494,116,53,34,http://www.marinetraffic.com/img/no_photo.png,Crew Boat,URSULA TIDE,Crew Boat
