imo,MMSI,ais.type,call.Sign,flag,gross.tonnage,deadweight,length,width,image.src,ship.type,name,vessel.type
NA,235095944,Sailing Vessel,2GBD9,United Kingdom [GB],NA,NA,11,3,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1304953&size=,Sailing Vessel,EL STAN,Pleasure Craft
9300178,477133800,Cargo,VRMY3,Hong Kong [HK],19885,32573,177,28,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1870261&size=,Bulk Carrier,HAINAN ISLAND,Bulk Carrier
9321500,220477000,Cargo - Hazard D (Recognizable),OVXP2,Denmark [DK],170794,105750,397,71,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=70793&size=,Container Ship,ELEONORA MAERSK,Container Ship
9628568,356822000,Cargo,3FWR5,Panama [PA],23264,38168,179,30,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1038160&size=,General Cargo,BUNUN & WISDOM,General Cargo
9400162,225388000,Cargo,E.C.O.E,Spain [ES],3778,5000,100,12,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1275213&size=,General Cargo,FINITA R,General Cargo
9538127,311012500,Other,C6XK6,Bahamas [BS],7894,4450,92,21,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=290684&size=,Research/Survey Vessel,POLARCUS ASIMA,Research/Survey Vessel
9594224,311055400,Cargo,C6ZH3,Bahamas [BS],24145,37930,189,99,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=833247&size=,Bulk Carrier,SZCZECIN,Bulk Carrier
9563603,355899000,Cargo,3FMU7,Panama [PA],40896,76557,225,32,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=700750&size=,Bulk Carrier,HONG DAI,Bulk Carrier
9605188,246894000,Cargo,PCRT,Netherlands [NL],24210,34735,179,97,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1455411&size=,Bulk Carrier,HANZE GDANSK,Bulk Carrier
9392975,212579000,Tug,5BLT2,Cyprus [CY],2160,3250,71,9,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=409333&size=,Supply Vessel,SEA WITCH,Supply Vessel
9038751,352127000,Tanker,3EYS3,Panama [PA],25060,35722,176,32,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1618960&size=,Oil Products Tanker,HUASCAR,Tanker
9364954,235066948,Other,2BKQ8,United Kingdom [GB],58294,97000,227,8,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=69847&size=,Drill Ship,STENA CARRON,Drill Ship
9146821,377277000,Cargo,J8B5408,St Vincent Grenadines,17997,30855,185,23,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=60449&size=,Bulk Carrier,BOS ANGEL,Bulk Carrier
7932240,375602000,Dive Vessel,J8B3528,St Vincent Grenadines,2008,1033,76,1,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=358361&size=,Diving Support Vessel,GERIMAL,Diving Support Vessel
9629079,235102679,Cargo,2HDG3,United Kingdom [GB],99998,104557,335,45,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=2074523&size=,Container Ship,EVER LISSOME,Container Ship
NA,227153450,Passenger,FAA7537,France [FR],NA,NA,18,4,http://www.marinetraffic.com/img/no_photo.png,Passenger,SURFER 1936,Passenger
9158410,249761000,Cargo,9HFA5,Malta [MT],25719,32034,189,7,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=96279&size=,General Cargo,TOSCANA,General Cargo
9261578,255802440,Tanker,CQPG,Portugal [PT],2708,3090,75,14,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=277497&size=,LPG Tanker,MADDY,Tanker
9114969,247698000,Tanker - Hazard A (Major),IBOV,Italy [IT],9914,14002,142,5,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=170970&size=,Chemical Tanker,SAPPHIRE,Tanker
9484223,305546000,Cargo,V2ET5,Antigua Barbuda [AG],6351,9755,132,2,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=678928&size=,General Cargo,THORCO AVANTGARDE,General Cargo
NA,227522080,Sailing Vessel,FT8704,France [FR],NA,NA,13,4,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1667470&size=,Sailing Vessel,KERIDYA,Pleasure Craft
9308091,538002090,Tanker,V7GG5,Marshall Is [MH],41994,73911,228,6,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=63697&size=,Crude Oil Tanker,NEW CONSTELLATION,Tanker
9185700,657158000,High Speed Craft,NBCB,Nigeria [NG],171,17,31,7,http://www.marinetraffic.com/img/no_photo.png,High Speed Craft,KRISTEN,High Speed Craft
9518311,235080015,Other,2DLM3,United Kingdom [GB],12084,8000,134,24,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=426118&size=,Offshore Supply Ship,SEVEN PACIFIC,Offshore Supply Ship
NA,219009704,Pleasure Craft,XPD7488,Denmark [DK],NA,NA,13,4,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1622521&size=,Pleasure Craft,MARTINA,Pleasure Craft
9358632,538005202,Tanker - Hazard B,V7BU6,Marshall Is [MH],11660,20000,141,24,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1052599&size=,Oil/Chemical Tanker,CELSIUS MAYFAIR,Tanker
9346706,244971000,Cargo,PBOW,Netherlands [NL],2984,4891,89,95,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=333722&size=,General Cargo,VOORNEDIJK,General Cargo
9507518,636091797,Cargo,A8SZ4,Liberia [LR],93186,178987,291,97,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=398685&size=,Bulk Carrier,E.R.BORNEO,Bulk Carrier
8104204,619002000,Fishing,TUN5022,Ivory Coast [CI],956,NA,55,43,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1315645&size=,Fishing Vessel,SOLEVANT,Fishing Vessel
9272230,477040800,Cargo,VRZM4,Hong Kong [HK],24167,30435,199,8,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=62854&size=,General Cargo,CHIPOLBROK SUN,General Cargo
9444118,538003584,Reserved,V7RV5,Marshall Is [MH],1731,1685,60,16,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1856882&size=,Multi Purpose Offshore Vessel,KATHY K,Multi Purpose Offshore Vessel
9016674,636016281,Cargo,A8JH9,Liberia [LR],10381,10603,150,01,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=620765&size=,Reefer,BALTIC PERFORMER,Reefer
9268411,224127000,Passenger,ECCK,Spain [ES],3715,420,78,16,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=225371&size=,Ro-Ro/Passenger Ship,VOLCAN DE TINDAYA,Passenger
9181675,229440000,Cargo - Hazard A (Major),9HA3329,Malta [MT],53208,67795,294,32,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=77458&size=,Container Ship,MSC SARAH,Container Ship
9275323,441124000,Cargo,DSPJ3,Korea [KR],28171,48821,189,96,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=442213&size=,Bulk Carrier,HYUNDAI TREASURE,Bulk Carrier
9303546,366771000,Cargo,VLMQ,USA [US],59705,19670,199,32,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=424584&size=,Vehicles Carrier,ALLIANCE FAIRFAX,Vehicles Carrier
9396452,271000999,Cargo,TCSW3,Turkey [TR],2102,3020,80,28,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=83628&size=,General Cargo,NAZIM BEY,General Cargo
9431599,246655000,Cargo,PBWZ,Netherlands [NL],2702,3300,89,98,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=685310&size=,General Cargo,SCHOKLAND,General Cargo
NA,224172950,Fishing,EA2896,Spain [ES],NA,NA,18,5,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=2246496&size=,Fishing,VICTORIA TERCERO,Fishing Vessel
7931454,259733000,Cargo,LAET7,Norway [NO],31021,88272,199,33,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=468532&size=,General Cargo,EAGLE,General Cargo
NA,316178000,Sailing Vessel,CFK5068,Canada [CA],NA,NA,16,4,http://www.marinetraffic.com/img/no_photo.png,Sailing Vessel,MANDALA 5,Pleasure Craft
NA,227185860,Sailing Vessel,FAB2721,France [FR],NA,NA,11,4,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1894853&size=,Sailing Vessel,YEMANJA,Pleasure Craft
9615119,373393000,Cargo,3FBM3,Panama [PA],23264,38204,179,97,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=952575&size=,Bulk Carrier,CLIPPER BELLE,Bulk Carrier
9371919,210203000,Cargo,C4VE2,Cyprus [CY],5338,7660,117,19,http://www.marinetraffic.com/img/no_photo.png,General Cargo,LIMASSOL,General Cargo
9295402,636090860,Cargo - Hazard A (Major),A8GU5,Liberia [LR],41359,52786,264,05,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=420934&size=,Container Ship,JPO CANOPUS,Container Ship
NA,224275750,Pleasure Craft,-,Spain [ES],NA,NA,11,4,http://www.marinetraffic.com/img/no_photo.png,Pleasure Craft,DERSU UZALA,Pleasure Craft
9486300,305618000,Cargo,V2QE3,Antigua Barbuda [AG],5214,8108,119,95,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=605524&size=,Bulk Carrier,GRACE,Bulk Carrier
9293272,247186300,Cargo,ICCK,Italy [IT],38651,12420,176,31,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=72779&size=,Ro-Ro Cargo,GRANDE DETROIT,Passenger
9299111,240323000,Tanker - Hazard C (Minor),SYEK,Greece [GR],59486,101970,243,6,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=9362&size=,Oil/Chemical Tanker,ELKA APOLLON,Tanker
9526930,477196800,Cargo,VRJH7,Hong Kong [HK],88237,94267,299,9,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1306336&size=,Container Ship,MAERSK LEBU,Container Ship
9550278,565250000,Cargo,9V8320,Singapore [SG],17025,28496,169,37,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=222394&size=,Bulk Carrier,LAKE HAKONE,Bulk Carrier
9501617,247304400,Cargo,ICQN,Italy [IT],91373,178076,291,95,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1466874&size=,Bulk Carrier,ORSOLA BOTTIGLIERI,Bulk Carrier
9376220,256876000,Tug,9HEL9,Malta [MT],378,114,28,3,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=463543&size=,Tug,RT MARGO,Tug
9193434,204264000,Unspecified,CUST8,Portugal [PT],139,NA,25,6,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1678781&size=,Fishing Vessel,CABO DO MAR,Fishing Vessel
9633202,373840000,Cargo,3FJF6,Panama [PA],23264,38218,180,30,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1685695&size=,Bulk Carrier,PACIFIC ISLAND,Bulk Carrier
NA,204209570,Fishing,CUWM4,Portugal [PT],NA,NA,NA,NA,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=717942&size=,Fishing,MESTRE SACADURA,Fishing Vessel
9493119,477464900,Cargo,VRLB5,Hong Kong [HK],151825,315042,330,57,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=2112112&size=,Ore Carrier,CSB TALENT,Ore Carrier
9193252,368348000,Cargo,WKPN,USA [US],50698,61987,292,08,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1116168&size=,Container Ship,MAERSK WISCONSIN,Container Ship
9450765,636014798,Cargo,A8WP4,Liberia [LR],23456,34428,180,29,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1065862&size=,Bulk Carrier,GENCO MARE,Bulk Carrier
9541631,355654000,Cargo,3FDS4,Panama [PA],30962,55088,189,9,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=255117&size=,Bulk Carrier,YUTAI BREEZE,Bulk Carrier
8836314,224012450,Other,EBSG,Spain [ES],498,NA,58,10,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=311831&size=,Motor Hopper,ALASKA PRIMERO,Motor Hopper
8751320,576917000,Other,YJUE5,Vanuatu [VU],12072,NA,89,70,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=343652&size=,Platform,GSF ARCTIC I,Platform
9359959,269868000,Cargo,HBEM,Switzerland [CH],9938,12576,139,96,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1254037&size=,General Cargo,SCL AKWABA,General Cargo
9619945,219018864,Cargo,OWJG2,Denmark [DK],194849,194394,399,60,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1625014&size=,Cargo,MADISON MAERSK,Cargo
9083043,211217360,Cargo - Hazard B,DIPS,Germany [DE],7550,8932,151,12,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=117999&size=,Container Ship,SPICA,Container Ship
9577094,636015051,Tanker,A8YG8,Liberia [LR],42208,74548,228,5,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=477787&size=,Tanker,SCF PROVIDER,Tanker
8847246,273290500,Fishing,UAVN,Russia [RU],4407,1810,105,16,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1757260&size=,Factory Trawler,OSTROV ITURUP,Factory Trawler
NA,244780365,Pleasure Craft,PA3152,Netherlands [NL],NA,NA,NA,NA,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1630206&size=,Pleasure Craft,VOYAGER,Pleasure Craft
NA,244700759,Unspecified,PE6552,Netherlands [NL],NA,NA,21,5,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1660615&size=,Unspecified,MEZZOFORTE 2,Unspecified
NA,996131609,OffShore Structure,-,Cameroon [CM],NA,NA,NA,NA,http://www.marinetraffic.com/img/no_photo.png,OffShore Structure,FLARE,OffShore Structure
9149744,403533000,Cargo - Hazard A (Major),HZQG,Saudi Arabia [SA],48154,49993,276,5,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=111069&size=,Container Ship,NAJRAN,Container Ship
9421128,305398000,Cargo,V2QA3,Antigua Barbuda [AG],5630,7816,108,17,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=732705&size=,General Cargo,UBC MARIEL,General Cargo
9309459,371908000,Cargo - Hazard A (Major),3EEI3,Panama [PA],94489,114175,331,99,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1061887&size=,Container Ship,MSC SILVANA,Container Ship
NA,224081870,Sailing Vessel,EA-2749,Spain [ES],NA,NA,18,6,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1410684&size=,Sailing Vessel,ODYSSEAS,Pleasure Craft
9238117,538003253,Cargo,V7PL2,Marshall Is [MH],17431,28425,170,27,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=68784&size=,Bulk Carrier,KINGFISHER D,Bulk Carrier
9297929,311912000,Cargo,C6UH2,Bahamas [BS],40230,73690,225,32,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1588559&size=,Bulk Carrier,CALIPSO,Bulk Carrier
9147679,304080754,Cargo,V2AB2,Antigua Barbuda [AG],8388,9961,151,63,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=267129&size=,General Cargo,WILMA,General Cargo
9313503,256050000,Cargo,9HJN8,Malta [MT],30936,55447,189,99,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=309434&size=,Bulk Carrier,FASSA,Bulk Carrier
9255660,215535000,Tanker - Hazard A (Major),9HSM7,Malta [MT],57301,105330,244,42,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=15487&size=,Crude Oil Tanker,SEASCOUT,Tanker
9604134,563982000,Cargo - Hazard D (Recognizable),9V9726,Singapore [SG],98882,104135,334,98,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1740411&size=,Container Ship,EVER LIVELY,Container Ship
9430222,477167200,Cargo,VRIP5,Hong Kong [HK],14859,18010,161,5,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=959845&size=,General Cargo,SAFMARINE SHABA,General Cargo
9544712,353544000,Cargo,3FLA,Panama [PA],39737,76529,224,94,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=687223&size=,Bulk Carrier,LADY MARITE,Bulk Carrier
NA,370730000,Passenger,HP6075,Panama [PA],NA,NA,19,4,http://www.marinetraffic.com/img/no_photo.png,Passenger,SURFER 19005,Passenger
9297321,240435000,Tanker,SZQI,Greece [GR],58156,103194,243,57,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=96329&size=,Crude Oil Tanker,MINERVA ELLIE,Tanker
9225720,247027500,Tug,ILPU,Italy [IT],470,NA,34,3,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=182834&size=,Tug,SANTANTONIO PRIMO,Tug
NA,265515650,Other,DM2,Sweden [SE],NA,NA,NA,NA,http://www.marinetraffic.com/img/no_photo.png,Other,DHERY-M,Other
9506538,253375000,Unspecified,LXZV,Luxembourg [LU],804,602,38,14,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1172305&size=,Fire Fighting Vessel,BOURBON AUROCH,Fire Fighting Vessel
9213882,246484000,Cargo,PEBT,Netherlands [NL],4503,6358,111,75,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=697344&size=,Cargo/Containership,FLINTERDUIN,Cargo/Containership
9643532,319931000,Pleasure Craft,ZGBZ4,Cayman Is [KY],1100,189,54,96,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=630351&size=,Yacht,SOVEREIGN,Yacht
8998007,657643000,Cargo,5NUE,Nigeria [NG],199,NA,29,26,http://www.marinetraffic.com/img/no_photo.png,Crew Boat,ALAFURO,Crew Boat
9280378,224101930,Unspecified,EABZ,Spain [ES],2894,4999,77,16,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=224589&size=,Tanker,SPABUNKER VEINTIDOS,Tanker
NA,228351700,Sailing Vessel,-,France [FR],NA,NA,18,6,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=626948&size=,Sailing Vessel,MAITRCOQ2-SOLOSAILOR,Pleasure Craft
9432490,235070364,Cargo,2BYA3,United Kingdom [GB],5629,8057,108,2,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=103481&size=,General Cargo,NOMADIC BERGEN,General Cargo
9251561,235606000,Tanker,VQGB2,United Kingdom [GB],23235,37321,182,55,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=187652&size=,Oil Products Tanker,BRITISH EXPLORER,Tanker
9165358,310223000,Cargo,ZCBP6,Bermuda [BM],39174,40881,245,32,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=72945&size=,Container Ship,MISSISSAUGA EXPRESS,Container Ship
9497206,477389700,Cargo,VRHI2,Hong Kong [HK],64769,115581,254,43,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=670024&size=,Bulk Carrier,MAGSENGER 1,Bulk Carrier
9210256,247153300,Cargo,IBGR,Italy [IT],6204,8139,107,68,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=208672&size=,General Cargo,SDS RAIN,General Cargo
9007180,263569000,Fishing,CUOA,Portugal [PT],332,150,32,8,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1628259&size=,Fishing Vessel,MAR LARGO,Fishing Vessel
9463865,236584000,Cargo,ZDKA7,Gibraltar [GI],1801,2570,87,5,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=400705&size=,General Cargo,HANOI,General Cargo
9381407,305594000,Cargo,V2EY2,Antigua Barbuda [AG],5599,7739,108,1,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1227507&size=,General Cargo,SIMBA,General Cargo
9181194,249022000,Tanker,9HII9,Malta [MT],159187,299999,332,95,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=344849&size=,Tanker,MARINA M,Tanker
9434424,241018000,Cargo,SVBA4,Greece [GR],94995,180702,292,45,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=340817&size=,Bulk Carrier,SAMJOHN SOLIDARITY,Bulk Carrier
9299903,240350000,Tanker,SWDU,Greece [GR],62404,111808,249,44,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=542596&size=,Tanker,DEEP BLUE,Tanker
9608697,229102000,Cargo,9HA3071,Malta [MT],20928,32178,179,9,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=966410&size=,Bulk Carrier,BIANCO VICTORIA BULKER,Bulk Carrier
9629835,253511000,Other,LXWU,Luxembourg [LU],6146,4849,100,2,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1653985&size=,Multi Purpose Offshore Vessel,BOURBON EVOLUTION 802,Multi Purpose Offshore Vessel
NA,996132704,Safe Water,-,Cameroon [CM],NA,NA,NA,NA,http://www.marinetraffic.com/img/no_photo.png,Safe Water,TANKER ANCHORAGE EBO,Safe Water
9045780,309281000,Cargo,C6WH9,Bahamas [BS],7743,7721,131,25,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=307847&size=,Reefer,GREEN ITALIA,Reefer
9546057,248120000,Cargo,9HA2184,Malta [MT],9286,14600,139,95,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1015512&size=,General Cargo,TENACE,General Cargo
9466893,538004089,Cargo,V7VC8,Marshall Is [MH],33044,57000,189,99,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=687305&size=,Bulk Carrier,SMOLENSK,Bulk Carrier
NA,205864510,Sailing Vessel,-,Belgium [BE],NA,NA,NA,NA,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1869282&size=,Sailing Vessel,TXINIJO,Pleasure Craft
9629902,538005100,Cargo - Hazard A (Major),V7AZ4,Marshall Is [MH],86695,90120,316,46,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1248590&size=,Container Ship,MOL COMMITMENT,Container Ship
9007544,311044500,Cargo,C6YT4,Bahamas [BS],29369,46908,199,2,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=172404&size=,Timber Carrier,QUETZAL ARROW,Timber Carrier
NA,242131100,Fishing,CNA4665,Morocco [MA],NA,NA,25,6,http://www.marinetraffic.com/img/no_photo.png,Fishing,INDALO SEGUNDO,Fishing Vessel
9535618,305700000,Cargo,V2QF8,Antigua Barbuda [AG],8059,10872,145,63,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=746009&size=,General Cargo,THORCO COPENHAGEN,General Cargo
9417529,236575000,Tanker,ZDJW8,Gibraltar [GI],4580,6303,102,5,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1308656&size=,Oil Products Tanker,ZAKYNTHOS,Tanker
9633197,373425000,Cargo,3EZX6,Panama [PA],23264,38233,179,97,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1241990&size=,Bulk Carrier,OCEAN BLOOM,Bulk Carrier
9593220,241256000,Cargo,SVBS8,Greece [GR],106727,205938,299,92,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1805013&size=,Bulk Carrier,ANANGEL NOBILITY,Bulk Carrier
9566617,311000147,Cargo,C6AT5,Bahamas [BS],44866,72400,210,36,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1542146&size=,General Cargo,MACAW ARROW,General Cargo
9129885,354776000,Cargo - Hazard A (Major),3FWG6,Panama [PA],42307,51210,244,15,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=55095&size=,Container Ship,MSC RAFAELA,Container Ship
9654787,538005094,Tanker,V7AY5,Marshall Is [MH],29993,50800,183,32,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1887026&size=,Tanker,FRONT MERSEY,Tanker
9265689,357934000,Tanker,HOZW,Panama [PA],28323,45974,179,88,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=30005&size=,Tanker,BITU EXPRESS,Tanker
9531507,636015944,Tanker,D5DQ2,Liberia [LR],16823,16687,154,25,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1116297&size=,LPG Tanker,NAVIGATOR GUSTO,Tanker
9466295,246719000,Cargo,PCCY,Netherlands [NL],11864,17407,143,21,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=2054528&size=,General Cargo,ARUBABORG,General Cargo
NA,235102428,Pleasure Craft,-,United Kingdom [GB],NA,NA,11,4,http://www.marinetraffic.com/img/no_photo.png,Pleasure Craft,SUNBIRD,Pleasure Craft
9321249,308015000,Cargo - Hazard A (Major),C6WN8,Bahamas [BS],86692,90390,316,46,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=268684&size=,Container Ship,MOL CHARISMA,Container Ship
9371579,245554000,Cargo,PHPU,Netherlands [NL],15027,13000,145,04,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=624029&size=,General Cargo,FAIRPLAYER,General Cargo
9307205,310514000,Tanker - Hazard A (Major),ZCDS2,Bermuda [BM],95753,78957,283,06,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=70150&size=,LNG Tanker,METHANE LYDON VOLNEY,LNG Tanker
9449259,241102000,Cargo,SVBG4,Greece [GR],33280,57292,190,32,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=779614&size=,Bulk Carrier,UNION EXPLORER,Bulk Carrier
9616565,228002700,Other,FFZL,France [FR],135,187,23,6,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=373762&size=,Utility Vessel,JIF WORKER,Utility Vessel
9669873,257145000,Tanker - Hazard A (Major),LARX7,Norway [NO],30521,49622,182,66,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1736199&size=,Oil/Chemical Tanker,BOW TRAJECTORY,Tanker
9515917,354949000,Tanker,3FFL3,Panama [PA],29924,50155,183,32,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1299885&size=,Oil/Chemical Tanker,ZEFYROS,Tanker
9383132,663036000,Passenger,6WIX,Senegal [SN],3481,693,76,15,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=463446&size=,Ro-Ro/Passenger Ship,ALINE SITOE DIATTA,Passenger
9227027,477014600,Cargo - Hazard A (Major),VRBH4,Hong Kong [HK],39941,50789,260,32,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=77265&size=,Container Ship,SEASPAN DALIAN,Container Ship
9084516,357137000,Tanker,HOHG,Panama [PA],17751,27925,169,25,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=82827&size=,Oil Products Tanker,EMERALD 1,Tanker
NA,228041800,Sailing Vessel,FIJC,France [FR],NA,NA,NA,NA,http://www.marinetraffic.com/img/no_photo.png,Sailing Vessel,TERANGA,Pleasure Craft
9564384,636014800,Cargo,A8WP6,Liberia [LR],34432,36994,189,9,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=390816&size=,Fruit Juice Tanker,ORANGE STAR,Fruit Juice Tanker
7931894,224522000,SAR,EABF,Spain [ES],1171,1188,63,13,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=686745&size=,Offshore Supply Ship,PUNTA SALINAS,Offshore Supply Ship
9250581,354657000,Cargo,HOFF,Panama [PA],27658,48610,189,95,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=2188240&size=,Bulk Carrier,HIBISCUS,Bulk Carrier
9426362,432729000,Cargo,7JGF,Japan [JP],62993,21423,199,94,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=218621&size=,Vehicles Carrier,DAEDALUS LEADER,Vehicles Carrier
9530943,636015149,Cargo,A8YX8,Liberia [LR],22733,36903,186,4,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=815737&size=,Bulk Carrier,QUEST,Bulk Carrier
7612515,273351440,Cargo,UBVH9,Russia [RU],1926,2649,95,13,http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=214929&size=,General Cargo,BALTIYSKIY 109,General Cargo
